City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
medicine hat,CA,50.04,-110.68,66.2,34,20,14.99
katsuura,JP,33.93,134.5,62.05,88,8,7.54
aklavik,CA,68.22,-135.01,51.8,53,20,11.41
tuktoyaktuk,CA,69.44,-133.03,46.4,61,20,6.93
kapaa,US,22.08,-159.32,75.2,88,90,14.99
mildura,AU,-34.18,142.16,45.67,92,0,9.66
souillac,FR,45.6,-0.6,73.4,49,75,10.29
lorengau,PG,-2.02,147.27,80.59,100,100,3.85
praia,BR,-20.25,-43.81,82.4,47,20,3.36
port alfred,ZA,-33.59,26.89,76.54,50,0,7.2
barranca,PE,-10.75,-77.76,61.87,98,0,9.89
nome,US,30.04,-94.42,87.8,70,40,3.36
matay,EG,28.42,30.79,97.69,23,0,6.98
saskylakh,RU,71.97,114.09,59.53,55,48,5.86
itarema,BR,-2.92,-39.92,88.33,61,0,12.57
butaritari,KI,3.07,172.79,81.13,100,56,7.31
peniche,PT,39.36,-9.38,75.2,64,20,12.75
beloha,MG,-25.17,45.06,71.95,57,0,16.37
anadyr,RU,64.73,177.51,48.2,57,0,4.47
luderitz,NA,-26.65,15.16,64.03,64,12,17.38
rochester,US,44.02,-92.46,73.4,37,1,6.93
bosaso,SO,11.28,49.18,89.77,86,0,3.96
faanui,PF,-16.48,-151.75,79.96,100,0,11.79
grindavik,IS,63.84,-22.43,48.2,70,75,5.82
margate,AU,-43.03,147.26,44.6,87,20,8.05
marsh harbour,BS,26.54,-77.06,82.39,95,88,10
comodoro rivadavia,AR,-45.87,-67.48,42.8,60,40,9.17
upernavik,GL,72.79,-56.15,29.29,100,92,3.74
uige,AO,-7.61,15.06,86.8,29,0,3.18
bredasdorp,ZA,-34.53,20.04,82.4,23,0,5.82
bodden town,KY,19.28,-81.25,80.6,78,40,16.11
guerrero negro,MX,27.97,-114.04,63.85,88,44,3.74
bilma,NE,18.69,12.92,110.47,12,0,4.63
carnarvon,ZA,-30.97,22.13,60.43,30,0,14.25
ponta do sol,BR,-20.63,-46,78.25,72,12,3.96
vila franca do campo,PT,37.72,-25.43,71.6,88,75,12.75
puerto del rosario,ES,28.5,-13.86,73.4,60,20,17.22
sitka,US,37.17,-99.65,74.02,92,20,5.97
camacha,PT,33.08,-16.33,68,72,75,16.11
saint-philippe,CA,45.36,-73.48,78.8,54,1,11.41
port blair,IN,11.67,92.75,84.37,97,92,25.1
albany,US,42.65,-73.75,69.8,68,90,3.36
barrow,AR,-38.31,-60.23,50.26,72,88,8.21
qorveh,IR,35.17,47.8,76.72,22,92,3.18
san jeronimo,PE,-13.65,-73.37,46.4,81,90,2.39
mataura,NZ,-46.19,168.86,25.69,79,24,3.18
buala,SB,-8.15,159.59,78.7,100,64,4.18
eyl,SO,7.98,49.82,86.62,57,20,22.41
abu dhabi,AE,24.47,54.37,98.6,29,0,16.11
tahe,CN,52.34,124.71,51.43,98,92,2.17
chuy,UY,-33.69,-53.46,52.87,93,80,28.9
dzerzhinskoye,RU,56.84,95.22,65.11,69,8,3.85
vanavara,RU,60.35,102.28,64.21,50,0,5.64
muros,ES,42.77,-9.06,66.2,72,40,10.29
auchel,FR,50.51,2.47,68,49,0,3.36
bubaque,GW,11.28,-15.83,91.4,55,40,11.41
khatanga,RU,71.98,102.47,60.97,65,8,4.63
los banos,US,37.06,-120.85,75.2,67,1,4.74
labuhan,ID,-2.54,115.51,72.94,95,12,1.83
saint-paul,FR,45.22,1.9,68,56,75,14.99
petatlan,MX,17.52,-101.27,84.2,74,90,1.83
baykit,RU,61.68,96.39,63.94,68,36,4.29
dalby,AU,-27.18,151.26,53.6,93,75,2.24
yellowknife,CA,62.45,-114.38,46.4,93,90,8.05
hilo,US,19.71,-155.08,66.2,88,75,5.82
turukhansk,RU,65.8,87.96,66.37,76,36,6.42
dingle,PH,11,122.67,79.96,82,68,8.21
dillon,US,45.22,-112.64,57.2,44,1,5.82
labytnangi,RU,66.66,66.39,47.11,75,64,17.49
gigmoto,PH,13.78,124.39,83.56,98,36,17.6
nouakchott,MR,18.08,-15.98,76.72,76,68,1.39
rumoi,JP,43.93,141.67,44.41,100,92,8.1
dikson,RU,73.51,80.55,31.09,100,32,13.13
chinsali,ZM,-10.55,32.07,73.39,36,0,9.22
georgetown,GY,6.8,-58.16,82.4,78,75,9.17
tooele,US,40.53,-112.3,73.4,35,1,9.17
nikolskoye,RU,59.7,30.79,60.8,41,40,4.47
bodo,CI,5.91,-4.68,87.7,66,80,8.21
minador do negrao,BR,-9.31,-36.86,76.81,80,32,13.24
sambava,MG,-14.27,50.17,77.35,100,88,19.73
yerbogachen,RU,61.28,108.01,64.93,44,0,7.43
kahului,US,20.89,-156.47,66.2,93,1,3.36
clyde river,CA,70.47,-68.59,35.6,100,75,21.92
ancud,CL,-41.87,-73.83,39.1,90,20,2.73
beringovskiy,RU,63.05,179.32,39.37,88,0,3.4
majene,ID,-3.54,118.97,81.85,100,32,11.01
ahar,IR,38.48,47.07,62.77,62,36,3.74
ilhabela,BR,-23.78,-45.36,72.85,98,80,2.28
listvyagi,RU,53.68,86.95,65.11,78,0,2.06
skjervoy,NO,70.03,20.97,44.6,65,40,10.29
cape town,ZA,-33.93,18.42,73.4,35,0,9.17
iqaluit,CA,63.75,-68.52,35.6,96,90,20.8
fort-shevchenko,KZ,44.51,50.26,74.2,59,0,3.62
severo-kurilsk,RU,50.68,156.12,38.02,100,92,16.26
arraial do cabo,BR,-22.97,-42.02,80.6,65,0,4.7
torbay,CA,47.66,-52.73,50,93,90,19.46
ahipara,NZ,-35.17,173.16,56.65,91,88,9.66
bandarbeyla,SO,9.49,50.81,79.15,79,0,32.93
vuktyl,RU,63.86,57.31,52.6,96,92,7.43
caravelas,BR,-17.73,-39.27,77.62,98,0,10.45
waipawa,NZ,-39.94,176.59,50.89,94,92,9.44
khomutovo,RU,52.85,37.45,72.31,65,0,5.97
acajutla,SV,13.59,-89.83,84.2,79,40,1.12
buritis,BR,-15.62,-46.42,83.74,53,0,6.87
meulaboh,ID,4.14,96.13,82.03,100,48,3.4
vaini,IN,15.34,74.49,70.42,98,100,4.29
teya,MX,21.05,-89.07,86,66,75,13.87
bambous virieux,MU,-20.34,57.76,75.2,69,75,14.99
zaragoza,ES,41.65,-0.88,77,49,20,28.86
thompson,CA,55.74,-97.86,57.2,76,75,3.36
kodiak,US,39.95,-94.76,75.2,50,1,13.87
nsanje,MZ,-16.92,35.26,70.33,84,92,4.18
the pas,CA,53.82,-101.24,60.8,63,1,10.29
masalli,KR,34.8,126.66,68,77,12,9.17
talnakh,RU,69.49,88.39,42.79,100,20,3.18
ilulissat,GL,69.22,-51.1,32,97,90,4.7
vallenar,CL,-28.58,-70.76,54.4,56,0,1.28
cap-aux-meules,CA,47.38,-61.86,51.8,62,40,20.8
san quintin,PH,17.54,120.52,77,100,90,13.87
victoria,BN,5.28,115.24,80.6,94,75,1.12
okhotsk,RU,59.36,143.24,38.02,100,12,2.17
bonavista,CA,48.65,-53.11,46.57,82,92,22.97
manokwari,ID,-0.87,134.08,78.07,100,80,8.1
lebu,ET,8.96,38.73,55.3,100,92,0.72
qostanay,KZ,53.17,63.58,59,54,75,6.71
victor harbor,AU,-35.55,138.62,55.4,82,75,17.22
kamenka,RU,53.19,44.05,61.6,98,12,9.44
cherskiy,RU,68.75,161.3,55.21,48,8,3.18
kimbe,PG,-5.56,150.15,78.43,100,92,6.64
guba,PH,10.43,123.89,84.2,74,75,8.05
inuvik,CA,68.36,-133.71,51.8,53,40,3.36
jiazi,CN,19.61,110.49,82.4,78,20,4.47
namatanai,PG,-3.66,152.44,78.07,100,76,11.68
port elizabeth,US,39.31,-74.98,75.2,83,90,9.17
chilca,PE,-13.22,-72.34,55.4,47,75,3.36
tual,ID,-5.67,132.75,79.78,100,68,12.12
puerto colombia,CO,10.99,-74.96,87.8,74,40,6.93
muzhi,RU,65.4,64.7,55.57,63,0,10.67
tabuk,PH,17.41,121.44,72.4,86,92,1.83
palauig,PH,15.44,119.9,74.11,100,92,10.67
komsomolskiy,RU,67.55,63.78,37.39,84,0,9.22
atuona,PF,-9.8,-139.03,79.6,100,44,12.91
sinnamary,GF,5.38,-52.96,75.19,100,92,3.4
kavieng,PG,-2.57,150.8,78.97,100,92,5.41
moron,VE,10.49,-68.2,81.67,70,0,3.06
fortuna,ES,38.18,-1.13,86,64,20,12.75
pangnirtung,CA,66.15,-65.72,35.6,93,90,4.7
paamiut,GL,61.99,-49.67,35.32,100,68,12.46
juegang,CN,32.31,121.18,75.28,76,36,16.6
kiama,AU,-34.67,150.86,50.44,86,0,6.87
yamada,JP,36.58,137.08,60.8,72,20,14.99
russell,AR,-33.01,-68.8,42.8,48,0,3.36
port hawkesbury,CA,45.62,-61.36,64.4,63,1,16.11
naze,NG,5.43,7.07,89.6,62,75,9.17
namibe,AO,-15.19,12.15,74.02,89,0,17.49
lodja,CD,-3.52,23.6,94.36,20,0,4.97
basco,US,40.33,-91.2,77,44,1,13.87
suleja,NG,9.18,7.18,87.34,74,20,2.95
tazovskiy,RU,67.47,78.7,67.72,60,12,14.81
waterloo,CA,43.47,-80.52,75.2,78,75,12.75
kruisfontein,ZA,-34,24.73,75.82,47,0,8.43
hithadhoo,MV,-0.6,73.08,83.65,100,12,6.42
aqtobe,KZ,50.28,57.21,71.6,24,0,6.71
trinidad,UY,-33.52,-56.9,50,76,75,17.22
jasper,US,33.83,-87.28,78.8,83,12,5.19
tempio pausania,IT,40.9,9.1,69.8,77,40,11.41
kununurra,AU,-15.77,128.74,73.4,73,75,5.82
zhob,PK,31.34,69.45,80.95,10,0,5.64
los llanos de aridane,ES,28.66,-17.92,73.4,60,20,12.75
nohar,IN,29.18,74.77,98.5,22,0,9.55
sainte-suzanne,CH,47.51,6.77,66.2,48,76,10.29
crotone,IT,39.09,17.12,82.4,42,0,23.04
gambela,ET,8.25,34.59,68.62,94,92,2.95
kavaratti,IN,10.57,72.64,81.67,100,80,22.64
ust-ilimsk,RU,57.96,102.73,60.61,87,12,1.95
leo,BF,11.1,-2.1,94.72,66,0,4.63
totolapan,MX,18.99,-98.92,59,77,75,5.82
funtua,NG,11.52,7.31,90.67,50,44,2.17
salalah,OM,17.01,54.1,84.2,89,75,10.29
burnie,AU,-41.05,145.91,51.88,100,92,21.07
boulder city,US,35.98,-114.83,89.6,11,1,3.51
massakory,TD,13,15.73,100.21,46,0,6.98
arlit,NE,18.74,7.39,110.92,14,0,4.74
zhigansk,RU,66.77,123.37,56.83,56,0,4.97
florianopolis,BR,-27.6,-48.55,69.8,64,40,3.36
lavrentiya,RU,65.58,-170.99,35.95,76,0,8.43
bluefield,US,37.27,-81.22,78.8,78,90,11.41
te anau,NZ,-45.41,167.72,27.22,80,8,2.84
marawi,PH,8,124.29,66.73,99,44,2.28
amapa,HN,15.09,-87.97,84.2,83,75,4.7
palmer,AU,-34.85,139.16,55.4,82,75,17.22
cidreira,BR,-30.17,-50.22,51.97,81,0,26.33
saint-pierre,FR,48.95,4.24,66.2,67,90,12.75
aykhal,RU,65.95,111.51,62.23,57,32,4.74
ondangwa,NA,-17.91,15.98,84.2,13,0,2.24
pitimbu,BR,-7.47,-34.81,84.2,54,40,17.22
grandview,US,38.89,-94.53,80.6,65,1,10.29
williston,US,48.15,-103.62,71.6,36,1,8.05
maniitsoq,GL,65.42,-52.9,36.31,97,68,5.53
krasnyy yar,RU,50.7,44.73,64.03,86,92,8.21
nouadhibou,MR,20.93,-17.03,80.6,47,20,14.99
buritama,BR,-21.07,-50.14,75.1,95,68,6.31
longyearbyen,NO,78.22,15.63,33.8,86,90,18.34
lasa,CY,34.92,32.53,80.6,74,20,6.93
college,US,64.86,-147.8,42.8,75,1,3.36
ust-tsilma,RU,65.44,52.15,54.4,84,12,3.62
saint-augustin,FR,44.83,-0.61,69.8,82,64,12.75
berlevag,NO,70.86,29.09,42.8,70,75,13.87
havoysund,NO,71,24.66,42.8,87,75,13.87
kamina,CD,-8.74,25,85,23,0,7.99
yaan,NG,7.38,8.57,85.9,100,48,7.09
makakilo city,US,21.35,-158.09,77,83,1,4.7
along,IN,28.17,94.8,68.89,98,100,1.5
vanimo,PG,-2.67,141.3,83.65,100,88,4.29
hovd,NO,63.83,10.7,62.6,48,75,4.7
la maddalena,IT,39.15,9.02,75.2,57,40,17.22
grand gaube,MU,-20.01,57.66,75.2,69,75,14.99
novoagansk,RU,61.94,76.66,67.81,37,20,8.43
kearney,US,40.7,-99.08,71.6,64,90,14.99
geraldton,CA,49.72,-86.95,62.6,63,75,8.05
castro,CL,-42.48,-73.76,39.73,99,0,2.73
luganville,VU,-15.51,167.18,75.19,100,92,4.85
mahebourg,MU,-20.41,57.7,75.2,69,75,14.99
vostok,RU,46.45,135.83,45.04,83,44,1.95
esperance,TT,10.24,-61.45,80.6,88,75,12.75
fare,PF,-16.7,-151.02,79.42,100,0,13.91
toora-khem,RU,52.47,96.11,57.82,83,92,2.84
santa rita,VE,10.21,-67.56,83.65,64,36,2.73
west bay,GB,50.71,-2.76,68,77,40,12.75
gamba,CN,28.28,88.52,32.35,91,92,2.28
rudnya,RU,50.8,44.56,63.31,88,92,7.65
norman wells,CA,65.28,-126.83,44.6,65,90,5.82
salinas,US,36.67,-121.66,60.8,67,1,3.62
ugoofaaru,MV,5.67,73,82.93,100,80,8.77
kiunga,PG,-6.12,141.3,74.29,94,88,2.06
koumac,NC,-20.56,164.28,67.9,96,76,4.07
adre,TD,13.47,22.2,103.27,16,20,8.66
ahtopol,BG,42.1,27.94,77,57,0,13.87
slantsy,RU,59.12,28.09,62.5,55,0,4.18
mallaig,GB,57.01,-5.83,53.95,99,92,24.09
auch,FR,43.65,0.59,73.4,56,40,10.29
pathein,MM,16.78,94.73,76.9,96,92,14.81
maceio,BR,-9.67,-35.74,75.2,88,75,6.93
oloron-sainte-marie,FR,43.19,-0.61,68,93,88,11.41
isangel,VU,-19.55,169.27,74.2,100,68,14.36
manglaur,IN,29.79,77.88,82.57,64,0,2.39
wenling,CN,28.38,121.38,74.56,95,92,3.96
pak phanang,TH,8.35,100.2,85.99,93,48,10.22
aksay,RU,47.27,39.86,87.43,21,0,3.74
baghdad,IQ,33.3,44.38,104,14,0,4.7
fort nelson,CA,58.81,-122.69,41,86,90,9.17
fuerte olimpo,BR,-21.04,-57.87,60.97,75,92,12.8
bandarban,BD,22.2,92.22,80.6,94,90,13.87
mao,DO,19.55,-71.08,89.6,62,40,12.75
christchurch,NZ,-43.53,172.64,48.2,93,100,8.05
goderich,CA,43.74,-81.71,68.17,88,32,11.45
kizema,RU,61.11,44.83,53.86,66,56,18.39
quatre cocos,MU,-20.21,57.76,75.2,69,75,14.99
kalur kot,PK,32.16,71.27,91.03,41,44,1.95
singaraja,ID,-8.11,115.08,66.73,100,64,1.95
coquimbo,CL,-29.95,-71.34,53.6,62,0,8.05
urengoy,RU,65.96,78.37,69.25,59,12,12.24
yaypan,UZ,40.38,70.82,76.54,43,24,3.62
seoul,KR,37.57,126.98,71.6,68,75,3.36
acopiara,BR,-6.09,-39.45,83.2,51,0,11.23
warrnambool,AU,-38.38,142.48,51.43,100,76,17.72
phan thiet,VN,10.93,108.1,78.61,100,36,10
ilebo,CD,-4.33,20.59,94.72,22,12,5.19
kijang,KR,35.24,129.21,68,72,40,13.87
krasnogorsk,RU,55.82,37.34,69.8,59,75,13.42
husavik,CA,50.56,-96.99,67.27,72,44,7.31
araouane,ML,18.9,-3.53,111.46,15,0,5.75
tilichiki,RU,60.47,166.1,37.93,88,0,2.62
bosobolo,CD,4.19,19.88,84.19,70,20,6.42
villarrobledo,ES,39.27,-2.6,76.99,28,0,12.01
ribeira grande,PT,38.52,-28.7,75.2,83,40,11.41
shakawe,BW,-18.36,21.84,73.93,23,0,5.19
nemuro,JP,43.32,145.57,48.64,100,80,17.83
miramar,CR,10.09,-84.73,80.6,61,0,3.36
kerman,IR,30.29,57.06,91.4,5,20,13.87
davidson,US,35.5,-80.85,78.8,65,40,4.7
oksfjord,NO,70.24,22.35,46.4,65,40,10.29
wattegama,LK,7.35,80.68,71.41,97,92,5.75
inyonga,TZ,-6.72,32.06,79.42,32,0,3.18
saint george,GR,39.45,22.34,80.6,54,40,8.05
jabinyanah,TN,35.03,10.91,80.6,47,0,13.87
siddipet,IN,18.1,78.85,84.1,58,56,11.68
praia da vitoria,PT,38.73,-27.07,75.2,78,40,10.22
duluth,US,46.77,-92.13,73.4,46,1,8.05
oistins,BB,13.07,-59.53,86,66,20,25.28
san onofre,CO,9.74,-75.52,86.44,93,0,5.3
avera,US,33.19,-82.53,78.8,83,90,3.74
alizai,PK,33.94,71.55,89.77,30,0,3.29
bela,PK,26.23,66.31,93.37,29,36,10.33
kalas,PK,33.49,72.96,98.6,25,0,4.97
gisborne,NZ,-38.66,178.02,52.6,86,12,10.67
yuryevets,RU,57.32,43.11,60.7,69,24,15.03
bundaberg,AU,-24.87,152.35,64.66,100,88,12.01
griffith,AU,-34.29,146.06,50.62,90,80,8.88
raudeberg,NO,61.99,5.14,60.8,71,75,11.41
rio gallegos,AR,-51.62,-69.22,33.8,86,20,5.82
antalaha,MG,-14.9,50.28,75.01,85,88,14.14
houma,CN,35.63,111.36,62.32,58,0,2.51
verkhoyansk,RU,67.55,133.39,56.29,63,0,2.62
donskoye,RU,45.45,41.98,80.6,30,0,6.71
mogadishu,SO,2.04,45.34,78.25,100,64,22.08
lewistown,US,40.39,-90.15,78.8,53,1,12.75
leningradskiy,RU,69.38,178.42,33.79,88,0,21.74
airai,TL,-8.93,125.41,68.98,93,76,1.72
nantucket,US,41.28,-70.1,69.8,77,90,17.22
mount gambier,AU,-37.83,140.78,49.72,81,92,6.87
katobu,ID,-4.94,122.53,77.98,100,24,2.62
baiyin,CN,36.55,104.13,60.8,31,0,4.47
jumla,NP,29.28,82.18,37.75,95,88,2.51
voh,NC,-20.95,164.69,71.59,100,8,14.81
kamaishi,JP,39.28,141.86,53.95,78,0,12.8
jurm,AF,36.86,70.83,40.09,100,56,1.61
la ronge,CA,55.1,-105.3,53.6,76,75,8.05
paragominas,BR,-3,-47.35,91.93,56,20,5.41
fairbanks,US,64.84,-147.72,42.8,75,1,3.36
poum,MK,41.28,20.71,78.8,47,40,8.05
boyle,IE,53.97,-8.3,55.4,100,75,18.34
klaksvik,FO,62.23,-6.59,48.2,93,92,19.46
aleksandro-nevskiy,RU,53.48,40.21,74.2,49,0,9.78
graham,US,36.07,-79.4,75.2,78,75,9.17
paraiso,MX,24.01,-104.61,66.2,68,75,3.36
nishihara,JP,35.74,139.53,69.8,68,75,3.36
charyshskoye,RU,51.4,83.56,69.7,37,8,3.4
struer,DK,56.48,8.6,60.8,63,8,17.22
hualmay,PE,-11.1,-77.61,65.02,77,12,3.62
ystad,SE,55.43,13.82,68,60,75,13.87
buin,CL,-33.73,-70.74,46.4,65,0,3.36
gamboma,CG,-1.87,15.88,87.34,64,0,6.53
bristol,GB,51.45,-2.6,68,77,75,10.29
imbituba,BR,-28.24,-48.67,69.8,64,40,3.36
comrie,GB,56.09,-3.58,60.8,72,40,14.99
esil,KZ,51.96,66.41,60.25,50,0,7.65
lompoc,US,34.64,-120.46,62.6,63,1,2.51
coihaique,CL,-45.58,-72.07,33.8,85,80,2.24
hamilton,BM,32.3,-64.78,77,73,40,10.29
hasaki,JP,35.73,140.83,64.4,93,75,3.36
kajaani,FI,64.22,27.73,53.6,52,0,4.7
tupik,RU,54.43,119.94,51.25,63,0,4.63
kloulklubed,PW,7.04,134.26,82.4,83,90,9.17
kieta,PG,-6.22,155.63,76.81,100,32,2.73
maldonado,UY,-34.91,-54.96,51.8,76,75,19.46
smithers,CA,54.78,-127.17,48.2,81,75,2.62
mareeba,AU,-16.99,145.42,60.8,93,0,3.4
kaputa,ZM,-8.47,29.66,78.88,29,0,3.62
lira,UG,2.25,32.9,82.39,45,68,8.21
constitucion,MX,23.99,-104.67,66.2,68,75,3.36
ternate,PH,14.29,120.72,77,100,90,10.29
haines junction,CA,60.75,-137.51,42.79,52,68,2.62
zagora,HR,46.19,15.87,71.6,73,75,2.24
zhongxing,CN,32.02,116.14,74.29,69,8,7.99
snezhnogorsk,RU,69.19,33.23,42.8,70,75,2.24
sola,FI,62.78,29.36,50,76,75,10.29
sioux lookout,CA,50.1,-91.92,66.2,59,20,4.7
sur,OM,22.57,59.53,89.32,82,0,4.85
utete,TZ,-7.99,38.76,81.76,51,12,6.08
saint-joseph,FR,43.56,6.97,71.6,60,75,4.7
sadao,TH,6.63,100.42,82.4,83,75,2.24
petropavlovsk-kamchatskiy,RU,53.05,158.65,41,86,90,2.24
vestmanna,FO,62.16,-7.17,48.2,93,92,19.46
chifeng,CN,42.27,118.96,52.42,90,8,0.72
grants pass,US,42.44,-123.33,59,50,90,2.62
lampazos de naranjo,MX,27.02,-100.51,82.93,57,0,6.76
salym,RU,60.06,71.48,60.61,51,48,5.08
verkh-chebula,RU,56.03,87.61,67.36,75,0,2.73
tsiroanomandidy,MG,-18.77,46.05,71.86,36,64,4.97
lagoa,PT,37.14,-8.45,71.6,56,20,10.29
les cayes,HT,18.19,-73.75,82.93,92,88,22.41
mackay,CA,53.65,-115.58,50,81,75,3.36
treuchtlingen,DE,48.96,10.91,60.8,67,75,8.05
witney,GB,51.78,-1.49,69.8,56,40,16.11
tabou,CI,4.42,-7.36,80.86,100,0,9.78
koson,UZ,39.04,65.59,89.6,19,0,9.17
burewala,PK,30.16,72.68,95.62,34,0,7.2
aksum,ET,14.12,38.72,61.15,94,80,3.4
iquitos,PE,-3.75,-73.25,84.2,74,20,4.7
bealanana,MG,-14.54,48.75,69.07,53,20,6.98
linqiong,CN,30.42,103.46,75.2,83,92,6.71
bonaventure,CA,48.04,-65.49,66.2,32,75,8.05
ostrovnoy,RU,68.05,39.51,36.58,82,92,18.28
narsaq,GL,60.91,-46.05,55.4,43,40,9.17
richards bay,ZA,-28.77,32.06,68.53,75,0,1.72
antofagasta,CL,-23.65,-70.4,57.2,67,40,8.05
yeniseysk,RU,58.45,92.17,63.49,71,8,2.84
taguatinga,BR,-15.83,-48.06,78.8,36,20,5.82
port-gentil,GA,-0.72,8.78,82.4,78,20,16.11
yulara,AU,-25.24,130.99,41,56,0,4.7
adrar,DZ,27.87,-0.29,109.4,12,0,11.41
samur,RU,41.83,48.49,71.23,84,0,13.13
chicla,PE,-11.71,-76.27,43.69,74,20,2.39
tombouctou,ML,16.77,-3.01,110.65,18,24,4.74
pyaozerskiy,RU,65.83,31.17,49,57,48,3.96
vagur,FO,61.47,-6.81,49.63,97,92,27.89
yar-sale,RU,66.83,70.83,36.22,89,76,14.81
ust-nera,RU,64.57,143.24,46.93,65,48,1.72
solnechnyy,RU,50.72,136.64,51.52,78,0,4.18
san patricio,PY,-26.98,-56.83,51.79,74,0,4.63
angoram,PG,-4.06,144.07,74.47,100,88,1.95
champerico,MX,16.38,-93.6,71.6,94,90,2.62
san policarpo,PH,12.18,125.51,78.43,100,80,7.76
port-cartier,CA,50.03,-66.88,55.4,47,40,16.11
tateyama,JP,36.66,137.31,49.45,100,12,1.95
mandalgovi,MN,45.76,106.27,62.59,35,8,6.64
bartica,GY,6.41,-58.62,82.4,78,75,9.17
bathsheba,BB,13.22,-59.52,86,66,20,25.28
bueu,ES,42.33,-8.79,71.6,53,0,16.11
chaltyr,RU,47.28,39.48,87.43,21,0,3.74
prince rupert,CA,54.32,-130.32,53.6,93,90,6.93
plouzane,FR,48.38,-4.62,66.2,63,90,8.05
belaya gora,RU,68.54,146.19,62.77,35,36,4.07
tongren,CN,27.72,109.18,67.9,85,12,1.95
narsimhapur,IN,17.14,74.26,76,78,88,9.22
sao joao da barra,BR,-21.64,-41.05,87.8,43,0,5.82
mamakan,RU,57.82,114.02,51.7,83,32,2.06
inirida,CO,3.87,-67.92,80.32,84,80,2.95
payo,ID,-3.75,103.64,77.98,84,56,4.74
san carlos de bariloche,AR,-41.13,-71.31,26.6,86,75,10.29
piacabucu,BR,-10.41,-36.43,84.37,57,44,15.48
auki,NG,12.18,6.51,94.81,55,44,1.61
ambon,FR,47.55,-2.56,69.8,64,90,8.05
bilibino,RU,68.06,166.44,52.33,60,0,1.95
jiangyou,CN,31.78,104.73,73.3,64,92,4.18
ambilobe,MG,-13.19,49.05,80.95,44,8,13.8
shebunino,RU,57.66,40.04,59.98,69,0,14.14
broome,GB,52.47,1.45,71.6,52,20,11.41
biedenkopf,DE,50.92,8.53,59,71,75,6.93
aquiraz,BR,-3.9,-38.39,87.8,52,20,19.46
karangasem,ID,-6.7,108.49,81.4,100,20,15.7
boca do acre,BR,-8.76,-67.39,83.56,77,76,2.84
la antigua,CO,6.72,-76.08,68.35,94,48,1.5
sibolga,ID,1.74,98.78,74.56,94,76,1.95
glebychevo,RU,60.44,28.72,60.79,46,68,4.63
campos altos,BR,-19.7,-46.17,79.69,62,0,6.42
santiago del estero,AR,-27.8,-64.26,52.33,49,0,6.2
banff,CA,51.18,-115.57,48.01,36,24,2.17
